{cycles = 0xe9f6a9e, diff_cycles = 0x1, operation = 0x80282ec "Reset usbBuffers", preempted_program_pointer = 0x801ab86, epnum = 0x2, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x16, adj_usb_buff = 0x0, usb_buff = 0x16, dma_pos_at_usb = 0xa, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x1
{cycles = 0xe9f49d9, diff_cycles = 0x16539, operation = 0x80274ec "SOF", preempted_program_pointer = 0x8007c72, epnum = 0x0, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f4a54, diff_cycles = 0x165b4, operation = 0x8027458 "IT", preempted_program_pointer = 0x8007c74, epnum = 0x28, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f4a56, diff_cycles = 0x165b6, operation = 0x80274ec "SOF", preempted_program_pointer = 0x8007c74, epnum = 0x0, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f4a86, diff_cycles = 0x165e6, operation = 0x8028528 "Audio Processing start", preempted_program_pointer = 0x0, epnum = 0x0, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f4a8a, diff_cycles = 0x165ea, operation = 0x8027618 "Read usbBuffers", preempted_program_pointer = 0x0, epnum = 0x0, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f4a8f, diff_cycles = 0x165ef, operation = 0x8027618 "Read usbBuffers", preempted_program_pointer = 0x0, epnum = 0x1, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x1d, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f4ad1, diff_cycles = 0x16631, operation = 0x8027458 "IT", preempted_program_pointer = 0x8016d84, epnum = 0x28, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f4ad4, diff_cycles = 0x16634, operation = 0x80274ec "SOF", preempted_program_pointer = 0x8016d84, epnum = 0x0, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f4b29, diff_cycles = 0x16689, operation = 0x8027638 "Write usbBuffers", preempted_program_pointer = 0x0, epnum = 0x2, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x8f, dma_pos_at_usb = 0x7, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f4b2c, diff_cycles = 0x1668c, operation = 0x80286e8 "Audio Processing end", preempted_program_pointer = 0x0, epnum = 0x0, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f4b4e, diff_cycles = 0x166ae, operation = 0x8027458 "IT", preempted_program_pointer = 0x8007c66, epnum = 0x28, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f4b51, diff_cycles = 0x166b1, operation = 0x80274ec "SOF", preempted_program_pointer = 0x8007c66, epnum = 0x0, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f4bcb, diff_cycles = 0x1672b, operation = 0x8027458 "IT", preempted_program_pointer = 0x8007c72, epnum = 0x28, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f4bcd, diff_cycles = 0x1672d, operation = 0x80274ec "SOF", preempted_program_pointer = 0x8007c72, epnum = 0x0, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f4bd4, diff_cycles = 0x16734, operation = 0x8027458 "IT", preempted_program_pointer = 0x8007c5e, epnum = 0x30, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f4bd6, diff_cycles = 0x16736, operation = 0x802745c "GRXSTSP", preempted_program_pointer = 0x8007c5e, epnum = 0x2, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
{cycles = 0xe9f4bd7, diff_cycles = 0x16737, operation = 0x8027464 "RXFLVL", preempted_program_pointer = 0x8007c5e, epnum = 0x6, is_in = 0x0, diff_usb = 0x0, expected_buff = 0x0, adj_usb_buff = 0x0, usb_buff = 0x0, dma_pos_at_usb = 0x0, buffer_processed_flag = 0x0, dma_isr_flag = 0x0, available_data_for_processing = 0x0, usb_available_lock = 0x0
